post_number,user,topic,raw,created_at,reply_to_post_number
85,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"stimmt , wenn man Frankreich anschaut, die lassen sich nicht alles gefallen.",2017-08-31 19:38:11.714581,80
86,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"genau meiner meinung, nicht die bundesregierung hat das sagen, sondern die lobbys(auto,pharma, waffen....) die sagen, wo es langgeht",2017-08-31 19:41:28.279397,77
87,Evelyn83,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Besser wäre es die Polizeibeamten aufzustocken. An der Bundeswehr wird immer weiter gespart und sie schrumpft immer mehr. Aber ihr Zweck ist die Verteidigung der Grenze. Ok, streng genommen macht sie das beiden vielen auslandseinsätzen auch nicht so richtig, aber im Land selbst sollte die Polizei tätig werden und auch deren Position gestärkt werden. Sobald sich die Polizei mal wehrt ist sie ja gleich der Arsch des Landes. Kein besonderer Traumjob, wenn die Grünen am Ende unqualifiziert nachtreten.",2017-08-31 19:59:01.325958,NULL
88,Evelyn83,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Das kann ich komplett unterstreichen,2017-08-31 20:00:39.152998,31
89,KM93,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Meiner Meinung nach ist der 9 Punkte Plan nicht ausgereift und auch nicht überschaubar. Die Aussagen sind viel zu kurz und lassen sehr schnell einige Fragen aufkommen. Was mich wahnsinnig interessiert worauf aber überhaupt nicht eingegangen wird ist das Frühwarnsystem. Wie sieht das aus? Was wird da konkret gemacht? Wer macht da was? Arbeitet Deutschland mit anderen Ländern dabei zusammen? Wird dabei eventuell massiv gegen den Datenschutz verstoßen? Was sind Anzeichen für eine frühzeitige Terrorerkennung und -warnung? Fragen über Frage, welche sowieso nur mit Lügen und Lächeln beantwortet werden oder ganz und gar offen bleiben. Zweiter wichtiger Knackpunkt ist Punkt 2. Mehr Personal bei der Polizei? Ich mein, ey Hallo???? Merkt die frau sich noch? Jahre lang werden schleichend ohne das es die Leute großartig mitbekommen die Polizeidienststellen im Land abgebaut, abgebaut und abgebaut. Die Polizeianwärter Stellen werden von Jahr zu Jahr geringer, die Auflagen und Anforderungen höher. Erstens bekommt man so schnell durch diese Auflagen kein Personal mehr und zweitens: ""Zuerst bauen wir ab, dann merken wir ähm scheisse war kacke und bauen wieder auf""??????? Ich verstehe diesen Sinn einfach nicht. Zudem war doch erst allein nur für diesen Ansatz die Silvesternacht in Köln verantwortlich. Naja Punkt 3: Massiver Verstoß gegen Datenschutzrechte, aber interessiert die Politik ja schon lange nicht mehr. Punkt 9 auch sehr umstritten. Da sollte lieber erstmal genauer geprüft werden. Die restlichen sind ein kleiner guter Ansatz, mehr auch nicht.",2017-08-31 20:25:43.557311,NULL
90,Maksimo,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wir sind kein Einwanderungsland. Sehr viele Asylsuchenden werden abgewiesen weil keine einwanderung gegeben ist. Migrationen beruht sich auf die deutche Abstammung und durch Kriegswirren aus dem Heimatland entfremdet. Das nächse sind Gastarbeiter welche wiedr in die Heimat zurück gehen. Wenn die Personen nach Ablauf dr Aufenthaltsberechtigungen die Staatsbürgerschaft wechseln ist das auch nicht eingewandert sondern emigriert. Anders in Amerika - Antrag auf Einwanderung mit Vermögensnachweis um in den Staaten leben zu können.,2017-08-31 20:48:19.62986,NULL
91,Lucy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir gefällt der 9-Punkte-Plan recht gut. Leider habe ich nicht die Hoffnung, dass auch alles 1:1 umgesetzt wird bzw. dass es sich alles wieder viel zu lange hinzieht.",2017-08-31 20:51:38.102892,NULL
92,fritz1965,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der Plan wurde bereits vor einem Jahr verabschiedet. Was ist bisher umgesetzt und welche Erfahrungen liegen vor ? Von 700.000 Asylbewerbern sollten 300.000 abgeschoben werden. Schon in diesem Punkt ist die Regierung gescheitert. Mir fehlt das Vertrauen in diesen Plan und mir fehlt das Vertrauen in diese Regierung. Deutschland nimmt die meisten Flüchtlinge in Europa auf, da bisher eine faire Verteilung in der EU nicht durchsetzbar gewesen ist. Seit April 2016 kommen monatlich ca. 15.000 neue Flüchtlinge in unser Land. Die Kanzlerin macht also weiter so, sieht keine Fehler in ihrer Politik und will nun mit einem 9-Punkte-Plan den Terror, den sie ins Land gelassen hat, bekämpfen. Ich bezweifle das dies ausreicht.",2017-08-31 20:56:12.871061,NULL
93,fritz1965,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Klar, sie ist die einzige Kanzlerin die wir bis jetzt hatten und wie sie später einmal in den Geschichtsbüchern gewürdigt wird, werden wir sehen. Ich halte sie für keine gute Regierungschefin, denn hinter ihrem Mutti-Image steckt eine sehr machtbewußte Persönlichkeit, die sich selbst für alternativlos hält. Ihre Flüchtlingspolitik ist ein Deseaster und wird Deutschlabd für alle Zeit verändern. Leider ist weit und breit kein Nachfolger in Sicht, auch dafür hat sie gesorgt. So wird Mutti also mit Mehrheit wiedergewählt, weil es so schön bequem ist und niemand weiß was nach ihr kommt. Der deutsche Michel ist ein echter Untertan, der wahre Souverän sitzt in den neuen Bundesländern.",2017-08-31 21:10:20.470138,6
94,wolf16,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Im Erstellen von Plänen ist unsere Bundeskanzlerin gut. Das Problem ist, dass alle Absichtserklärungen, die bisher vorgelgt wurden, nicht ansatzweise in die Realität umgesetzt wurden.",2017-08-31 23:27:48.339937,NULL
95,merythor,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich halte es wie einer meiner ""Vorredner"": Es ist längst überfällig. Allerdings: Ich glaube nicht an die Umsetzung. Die Regierungen in der EU und selbst die Bundesländer in Deutschland sind nicht in der Lage sich zu vernetzen. Um es ein wenig provakant auszudrücken: Viele Pommesbuden in Deutschland vernetzt, aber die Regierung kriegt das in einer solch wichtigen Sache nicht hin. Sie haben es jetzt vor. Aber alleine der Glaube daran fehlt mir.",2017-09-01 00:26:38.437588,NULL
96,kayguendel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"guten Morgen, und dein Resume des ganzen, also ich weis nicht mehr weiter, hoffe das der plan bald umgesetzt wird sonst hABEN WIR JA GAR NICHTS, dem allen entgegenzusetzen.",2017-09-01 05:39:49.360399,72
97,libero,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),mehr personal einstellen,2017-09-01 07:29:49.691688,NULL
98,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Sag mal, ist Dir eigentlich klar, welche Behauptungen Du da frisch und frei in die Welt setzt und gegen welche Gesetze DU damit verstoßen hast?",2017-09-01 09:12:09.908729,73
99,Linkeslieschen,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Sorry, ich sehe nur Worthülsen - Pläne sehen anders aus.",2017-09-01 09:20:09.271693,96
100,Afra,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ist wie immer von unserer Regierung nichts halbes und nichts ganzes. Richtige konkrete Vorschläge fehlen wie immer.,2017-09-01 09:59:52.082651,NULL
101,Henno,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Schön.. klingt alles sehr toll, aber ob das wirklich alles umgesetzt wird bleibt fraglich. Würde nur gezielt einzelne Punkte des Planes wie z.B. Punkt 9. Mehr Abschiebungen und Punkt 5 Forschung und Prävention nehmen, die anderen sind meiner Meinung nach nur sehr schwer umsetzbar bis unmöglich.",2017-09-01 10:00:38.102585,NULL
102,anita,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"[quote=""system, post:1, topic:15""] Konzept [/quote] Also es scheint die problemerkenmung und zeitnahme Umsetzung erfolgt zu sein. Also sehr gut",2017-09-01 10:04:23.450479,NULL
103,michgibtes,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Wir keine Konkreten Angaben geben, denn dann müsste es ja umgesetzt werden in naher Zukunft",2017-09-01 11:47:07.450804,3
104,gfd,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ein Plan ist ein Plan. Was dann wirklichgemacht wird ist erst nach dem 24.09. zu sehen,2017-09-01 12:02:40.23174,NULL
105,archeopt,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir fehlt beim 9-Punkte-Plan der Punkt 10. ""Maßnahmen für eine bessere Integration"". Ein Thema, das nicht nur Deutschland betrifft, sondern die gesamte Europäische Union. Menschen, die sich ungerecht oder schlecht behandelt oder isoliert von der Gesellschaft fühlen, die keine oder kaum Zukunftsperspektiven haben, sind wohl unbestritten anfällig für die Inhalte, die Ihnen terroristische oder radikale Gruppierung vorgaukeln, Somit ist jede gelungene Integration auch eine Art der Terrorbekäpfung.",2017-09-01 12:33:50.027101,NULL
106,OKluth,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Um die Bundeswehr im Inneren einsetzen zu dürfen, ist in der Tat wie semmelbroesel bereits zutreffend bemerkte eine Änderung unserer Verfassung sprich des Grundgesetzes GG erforderlich. Hierzu bedarf es einer qualifizierten 2/3 Mehrheit sowohl im Bundesrat als auch im Bundestag. Die entsprechende Rechtsvorschrift (auch diese, keinen Angriffskrieg mehr führen zu dürfen) beruht auf den Geschehnissen der Vergangenheit, nachdem von Deutschland ausgehend 2 Weltkriege entfacht worden waren. Mittlerweile haben sich die Zeiten und Umstände in den letzten Jahrzehnten wesentlich geändert. Deutschland und Europa haben sich als Stabilitätsfaktoren erwiesen, durchaus und überwiegend positiv. Was erscheint nun wichtiger: Auf der einen Seite das Grundgesetz auch im Hinblick auf längst von der Realität überholter Tatsächlichkeiten dieses hochzuhalten, oder eher die Bürger im eigenen Land zu schützen und damit ggf. auch den mit dieser Aufgabe vertrauten Soldatinnen und Soldaten einen durchaus wesentlichen Sinn in ihrer Arbeit zu geben - sofern es denn erforderlich sein sollte. Nicht umsonst haben die USA ihre Nationalgarde. Aus meiner bescheidenen Sicht sollte mithin eine Schutzfunktion geschaffen werden, welche sowohl innerhalb als auch außerhalb Deutschlands alle hier lebenden Menschen berücksichtigt. Dies auch die sog. ""Geheimdienste"" betreffend. Auch wenn ""das Internet für uns alle Neuland ist"". Das GG ist in der Vergangenheit oft genug geändert worden. Wenn den hier lebenden Menschen Schutz durch die Bundeswehr gewährt werden kann oder soll, nur zu, da muss die Politik sich bewegen.",2017-09-01 12:53:08.906647,NULL
107,Enrica,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Punkt 4 (Bundeswehr) und Punkt 9 (Mehr Abschiebungen) halte ich für übertrieben. Die Forschungsvorhaben sollten nicht nur ""**islamistischen** Terror"" umfassen. Die Unterbindung des Online-Waffenhandels halte ich für sinnvoll.",2017-09-01 13:35:13.82436,NULL
108,User4991,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Der Einsatz der Bundeswehr im Inneren erinnert an dunkelste Kapitel deutscher Geschichte.Auch die Überwachung im Internet und Gesichtserkennungsprogramme passen nicht zu einer freiheitlich demokratischen GrundordnungDamit bewegt man sich in der Tradition von Stasi oder SD.Es ist der verzweifelte Versuch eine verfehlte Einwanderungspolitik zu beherschen.Tod und Terror sind der Preis den die Bevölkerrung für die Durchsetzung des Schengenraums zu zahlen hat.,2017-09-01 14:32:48.788926,NULL
109,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Aber nicht in Deutschland denn das ist von manchen Parteien nicht gewollt. Denn die die am LAUTESTEN dagegen sind hätten ja genug Erfahrung aus der Vergangenheit (SED u.s.w.) Bei uns muss erst was Schlimmes Passieren bis die Verantwortlichen ihren Hintern hochkriegen. Da heist es dann man müsste mal man könnte mal oder doch nicht.,2017-09-01 17:16:40.558446,83
110,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich stimme dir da nicht ganz zu denn wer sich an die Regeln hält und ein Normal Bürger ist hat doch mit Gesichtserkennung kein Problem oder?? Nur wenn ich eine Schweinerei vorhabe und schon einmal aufgefallen bin dann muss ich doch Angst haben enteckt zu werden und das hat dann bestimmt nichts mit meiner Freiheit zu tun. Und das Kapitel der Deutschen Geschichte hat doch nichts mit dem Problem zu tun über das wir hier sprechen. Klar hätte man nicht die Polizei abgebaut und hätten wir das und dieses nicht gemacht klar ist doch,das auch Abends wieder eine Frau ohne Sorgen Spazieren gehen kann ohne dass sie Vergewaltigt oder ähnl.passieren kann. Das Grundgesetz ist so Flexibel das man den Einsatz unserer Soldaten nur Begrenzt einsetzt wo Not am Manne ist.",2017-09-01 17:26:17.659401,108
111,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo brunolina, gegen was für Gesetze verstößt Sammy Erkläre das mal !! Und welche Behauptungen gefallen dir nicht??",2017-09-01 17:30:54.969905,98
112,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Du sprichst mir aus der Seele gut so.,2017-09-01 17:32:39.968088,93
113,fischi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),wäre die unkontrolierte einwanderung nicht tor und tür geöffnet wäre brauchte mann nicht darüber diskutieren!!!!!,2017-09-01 17:51:48.587319,NULL
114,steffi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"ich weiss nicht ob das wirklich funktionieren wird, der plan ist nicht schlecht aber die realität leider anders",2017-09-01 18:14:14.728688,NULL
115,steffi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),ja denke ich auch,2017-09-01 18:14:47.279946,NULL
116,Sammy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo brunolina! Definiere bitte klar und deutlich, gegen welche Gesetze ich verstoßen haben soll mit meinen Aussagen!!! Frisch und frei in die Welt gesetzt??? Im Moment herrscht noch freie Meinungsäußerung in Deutschland! Ich bin gerne bereit mir DEINE Meinung anzuhören ohne DICH oder irgend jemanden anzugreifen und schon gar nicht mit einem unvollständigem Satz, der keine klare Aussage hat! Was ich geschrieben habe ist eine belegte Tatsache, die sich überall nachlesen lässt. Merkel hat nun mal in mehreren Fällen gegen das Grundgesetz verstoßen! Sollte ich das geheim halten, wo das bereits bekannt ist!",2017-09-01 18:20:47.935727,111
117,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Fangen wir mal damit an: § 186 Üble Nachrede Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.",2017-09-01 18:37:51.604284,111
118,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Sammy, Meinungsfreiheit ist nicht gleichbedeutend mit dem verbreiten von Unwahrheiten. Ich kann bei Deiner Wortwahl nicht erkennen, dass Du bereit wärst, Angriffe gegen andere - zu denen Frau Merkel doch wohl auch gehört – zu unterlassen. Meine Aussage war absolut klar. Sie ärgert Dich. Das kann ich nicht ändern. Teile Deiner Worte zitiere ich – den Rest erspare ich uns, ist ja durchaus nachlesbar: _„In ihren Augen hingegen sind Zweifel und Unsicherheit über ihre eigenen Worte zu sehen!“_ _Gegen wie viele Gesetze hat diese Frau schon verstoßen?!_ _Für mich ist diese Person, die ehemals zu Zeiten der DDR bei der Stasi war nicht glaubwürdig und für das “DEUTSCHE VOLK” untragbar.“_",2017-09-01 19:12:09.293799,116
119,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),aber ich fände es sinnvoll die Polizei so zu unterstützen,2017-09-01 19:42:10.714794,109
120,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),stimmt,2017-09-01 19:43:39.484895,113
121,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"also ich hätte damit schon ein problem, immer und überall erkannt zu werden und überwacht zu werden.",2017-09-01 19:45:15.735563,110
122,cappifreak,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"was man denn nicht alles machen soll, und was nicht alles gePLANt ist... erst einmal muss das ja schließlich auch alles so umgesetzt werden",2017-09-01 20:47:46.696726,NULL
123,Stormy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Der Plan in sich selbst ist gut. Leider ist es keine Lösung zu der aktuellen Terror Gefahr in Europa bzw. in Deutschland. Es ist auch noch viel zu tun bis alle Punkte diesen Plan im Ganzen durchgeführt wird.,2017-09-01 22:54:10.472336,NULL
124,susann,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Das klingt alles nach ziemlicher Überwachung. Sicherlich soll es unserer Sicherheit dienen, doch wir werden bzw. sind dann im wahrsten Sinne des Wortes gläserne Menschen.",2017-09-01 23:16:47.160997,NULL
125,theo-karlsruhe,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Da wir ja ehrlich und verantwortungsbewusste Steuerzahler sind, sollte es eigentlich zu unserem Vorteil sein, dass eine Dauer-Überwachung stattfindet, um Terror und Co. zu bändigen. Dass natürlich der gläserne Bürger dadurch entsteht, ist ein anderes, heikles Thema...Ich sage ja immer: die wissen wenn nicht jetzt schon, dann aber bald, sogar, wann wir Geschlechtsverkehr haben...",2017-09-02 00:51:31.778931,NULL
126,Sanny,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Frühwarnsystem längst überfällig, mehr Polizeipersonal längst überfällig, schon vor dem Terror und jetzt um so mehr! Entschlüsselung der Netzkommunikation ist schon lange machbar. Bundeswehr, darüber kann man streiten, nicht gesetzteskonform, jedoch auch gute Übungen für sie und Erleichterung der Polizei. Forschungen und Prävention, man weiß schon viele Jahre wie die Islamisten ticken und viele Menschen haben Merkel vor ihrer Politik gewarnt aber sie wollte nicht hören, es sind ja Fachkräfte die wir brauchen... Der Datenfluss steht meines Wissens schon längst. Online Waffenkauf, wer glaubt denn daran, dass diese Menschen im Netz ihre Waffen kaufen???? Stärkere Kooperation der Geheimdienste gut, denn hier bäckt jeder seine eigenen Brötchen. Mehr Abschiebungen JA! Doch auch Pläne wie sie durchgeführt werden, denn keiner will freiwillig zurück! So und was fehlt??? Nicht jeder sollte rein dürfen! Es sollte im Vorfeld, bevor sie hier Geld beziehen abgeklärt werden was dies für Menschen sind und ob sie einen Pass haben, einen echten Pass haben usw! Meine Erfahrung, hier sind 90 % die können gleich wieder zurück und für diese Menschen die Terror, Massenschlägereien machen, Frauen dumm anmachen und begrappschen gehen wir arbeiten, Leute macht doch endlich mal die Augen auf und unterhaltet euch mal mit Menschen aus dem Ausland, die genau gegen solche Leute im Krieg gekämpft haben! Ihr erfahrt Dinge, jenseits von gut und böse! In vielen von ihnen schlummert noch vieles, was wir garnicht wissen und erleben wollen!... Was sagte ein Bekannter von mir? Man sieht es ihnen an und man merkt es ihnen an ob sie vor dem Krieg geflüchtet sind. Punkt 1, er passt sich hier unseren Gepflogenheiten an, Punkt 2, er ist dankbar und fordert nicht... Mein Bekannter ist Kroate, er hat im Krieg gegen solche Menschen gekämpft und hat Geschichten erzählt... Er meinte, er ist nach Deutschland um dem Ganzen zu entkommen und nun geht es hier weiter... Er kam, ohne auch nur einen Euro vom Staat zu nehmen und hatte schnell Arbeit und sich super integriert und genau da müssen wir hin!!!",2017-09-02 08:11:28.382467,NULL
127,Sanny,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Zusatz: Was ist eigentlich mit dem Drogenproblem? Sehr viele Asylanten verkaufen gepanschtes Zeug an unsere Kinder und Jugendlichen und sie werden insgesamt nicht nur bei diesem Problem nicht so bestraft wie wir deutschen Bürger!!! Bei jedem Delikt gehört SOFORT abgeschoben und wenn und aber! Von der Festnahme ab mit Begleitung in den Flieger und ab zurück wo sie hergekommen sind! Jetzt wo das Kind schon längst in Brunnen gefallen ist, versucht man eine kleine Schadensbegrenzung zu machen wo wir nur bedingt Erfolg haben werden. Das Schlimme an Allem sind die Lügen schon von Anfang an...",2017-09-02 08:21:20.459694,126
128,Sammy,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo brunolina! Also als erstes hast Du mir leider noch immer nicht mitgeteilt, gegen welche Gesetze ich verstoßen habe! Gut interessiert mich nun auch nicht mehr wirklich. Mich auch noch der Lüge bezichtigen finde ich dreist! Es gibt für mich keinen Grund zu lügen. Ist absolut nicht meine Art! Meine persönliche Meinung werde ich auch weiterhin sagen, ob Dir das passt oder nicht! Wir kennen uns sicherlich nicht persönlich, so das Du ein solches Urteil über mich fällen kannst! Meine Bitte an Dich, ignoriere mich und meine Kommentare, so wie ich das ab sofort bei Dir auch tun werde. Damit ist das Thema für mich beendet!!!",2017-09-02 08:48:58.217309,118
129,realhumans,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Erst einmal gut, dass man sich nicht nur auf eines versteift, sondern es mit vielen Maßnahmen angeht. Manche halte ich für mehr wichtig, manche für weniger. Vor allem aber muss man sehr früh ansetzen und ich denke das hat man erkannt. Denn wenn man früh ansetzt, die Gefährdung erkennt bzw. es am Ende durch eine gelungene Asyl-Politik dazu bringt, dass diese gar nicht entsteht, spart man sich auch die Kosten, um später Personen rund-um-die-Uhr zu überwachen. Bei der Thematik der Entschlüsselung der Netzkommunikation: Natürlich ist hier auch die Gefahr des Missbrauchs da, aber ich vertraue den staatlichen Stellen in gewisser Weise, wenngleich die Formulierung so klingt, als dauert so etwas ewig und man sei technisch gar nicht versiert. Wieso hat man dies nicht schon vorher gemacht? Forschung und Prävention ist schön und gut, aber nicht so relevant. Online-Waffenkauf halte ich auch nicht für so grundlegend und wichtig. Viel wichtiger ist da wieder die verstärkte Zusammenarbeit der Geheimdienste. Aber das verspricht man nach jedem Terror-Akt und am Ende bleibt jeder für sich. Ich verstehe ja auch die einzelnen Länder, die natürlich auch Informationen als Machtbasis für sich behalten wollen. Der Punkt mit den Abschiebung halte ich für sehr wichtig und ist daher an 9. Stelle etwas zu weit hinten platziert.",2017-09-02 11:32:44.311883,NULL
130,realhumans,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"man sollte die modernen Möglichkeiten nutzen, ist noch lange keine 24h Beobachtung, sondern dass Erkennen von Gefahrensituationen bei großen Plätzen! Der Datenschutz wird da auf alle Fälle sichergestellt.",2017-09-02 11:33:57.870105,121
131,matthias,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),fände ich gut,2017-09-02 11:38:36.763973,NULL
132,Dorle,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Punkt 9 müsste eigentlich ganz vorne kommen. Ansonsten Plan ok, wann erfolgt Umsetzung?",2017-09-02 14:39:57.722574,NULL
133,Dorle,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"ich hab da kein Problem damit, habe ja nichts zu verbergen",2017-09-02 14:41:55.272629,121
134,berna,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"diese 9 punkte plan funktioniert nur, in dem man im nahen osten die länder von terorgruppen befreit und nicht durch waffenverkäufe unterstützt. diese terorangriffe sind vom westen mitverantwortlich.",2017-09-02 15:14:53.741079,NULL
135,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Das heißt nicht Scheiße,das ist Kacke denn dafür haben die in Berlin Geld um Papier zu kaufen. Und das Schlimme ist,für die Frauen (Trümmerfrauen)die heute wenn sie überhaupt noch leben und in Alten oder Pflegeheimen ich sage mal WOHNEN das ist kein Cent über aber als sie Großstädte wie zum Beispiel Berlin wieder aufgebaut haben da ist nichts über Schande. Man gibt halt lieber unser Geld als Entwicklungshilfe nach China oder Geld von der EU in die Türkei dann können die wenigstens über uns Deppen lachen.",2017-09-02 16:15:50.147923,46
136,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Noch ein Schlusswort zu der Überwachung, wie oft passiert es in Deutschland gerade in den letzen 2 Jahren das unsere Frauen angemacht und angetatscht werden und wie viele laufen vorbei und sehen nichts oder wollen nichts gesehen haben. Da wäre ich doch froh und Dankbar wenn irgend wo so ein Ding hängen würde und den Beweis liefern würde wie es war sonst bekommt man es ja nicht geglaubt in unserem Rechtsstaat. Den der Täter hat ja soooviel Schlechtes auf der Flucht erlebt und er jetzt Traumatisiert und er deswegen er das machen konnte. Also ich habe nichts gegen Kameras wenn sie nur ein klein bisschen zu meiner Sicherheit dienen.",2017-09-02 16:21:45.060945,121
137,RReacher,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wie gesagt sollte auch geändert werden. Oder sollen die Soldaten in Notsituationen einfach zugucken und nichts machen dürfen??,2017-09-02 16:24:12.613095,2
138,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Rechtswidrig ich lach mich Tod und Nutzlos schon gar nicht. Sie sind auch einer von dehnen die Schreien gegen alles und jeden aber sollte ihnen mal was passieren dann wären sie eines Tages Dankbar wenn man durch unsere Soldaten genau das hätte verhindern können. Und das Grundgesetz kann man ändern oder ist es in Granit gemeißelt??,2017-09-02 16:26:06.638953,57
139,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Sammy, das war bestimmt der Honecker der nochmal was sagen wollte bevor er jetzt gänzlich mit seiner Frau in der Hölle verschwand wo er dem Teufel den Ofen befeuern kann. Das sind halt Merkel Liebhaber ;-)) Und wenn es an die Front geht haben die ihre Buxe voll.",2017-09-02 16:29:07.123182,128
140,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"das Grundgesetz kann man schon ändern, man muss nur wollen",2017-09-02 17:39:04.501798,138
141,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"sicherheit ja, aber wäre das vor Gericht ein zulässiges Beweismittel?",2017-09-02 17:40:33.450957,136
142,maus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"wenn man in den Terrorländern den Menschen eine andere Perspektive bieten würde, müssten sie sich nicht der ISIS anschließen um geld zu verdienen.",2017-09-02 17:44:15.389062,NULL
143,EmKay,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich frage mich was der Punkt Frühwarnsystem in dem Programm zu suchen hat. Fakt ist doch das verschiedenste Institutionen auf einzelne Gefährder aufmerksam gemacht haben, diese auch der Polizei bekannt waren, letztlich aber doch nicht reagiert wurde. Was nutzt da ein Frühwarnsystem, wenn entsprechende Institutionen einfach nicht handeln. Das es jetzt mehr Polizeikräfte geben soll ist sicher ein richtiger Schritt, nachdem jahrelang auf Kürzungen der Stellen bei Polizeikräfte gesetzt wurde. Es sei hier an das Beispiel Sachsen erinnert. Man kann nur hoffen das mit mehr Polizeikräften nicht die Polizeianwärter mit 3 monatiger Ausbildung gemeint sind. Ein weiterer Punkt sind so genannte Fußfesseln. Wie sollen die letztendlich helfen oder glaubt allen ernstes jemand, das sich ein Gefährder durch eine Fußfessel von einer Tat abhalten lässt? Der einige Vorteil ist das man weiss, wo sich entsprechende Personen gerade aufhalten. Allerdings bei der Anzahl an Gefährdern in Deutschland, wer soll siese mit Fussfesseln denn dann ständig beobachten?",2017-09-02 17:51:31.206001,NULL
