post_number,user,topic,raw,created_at,reply_to_post_number
21,blume,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"prinzipiell nicht schlecht, aber konkretere Ausführungen zur Umsetzung sollten folgen",2017-08-30 07:37:10.523155,NULL
22,Luna,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Erst mal ist jeder dieser Punkte positiv zu bewerten, weil alles, was zur Terrorbekämpfung beiträgt gut ist. Dann muss man sich die einzelnen Punkte genauer ansehen und hinterfragen. Zu Punkt 2 fragt man sich, warum überhaupt erst so viele Stellen bei der Polizei gestrichen wurden. Und Punkt 7 geht mir auch nicht weit genug. Auch der Waffenhandel außerhalb der Internets, sollte viel mehr reglementiert und kontrolliert werden. Ich würde auch Asylbewerber, die sich nicht an unsere Gesetze halten abschieben. Wer straffällig wird, hat in meinen Augen sein Recht auf Asyl verwirkt.",2017-08-30 09:21:47.405219,NULL
23,blitzsocke,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"[quote=""system, post:1, topic:15""] Bundeswehreinsätze [/quote] Ich bin für die Bundeswehreinsätze zur Unterstützung der Polizei. Durch das Jahrelange streichen der Polizeikräfte ist diese durch die aktuelle Bedrohung völlig überfordert.",2017-08-30 09:59:07.167832,NULL
24,Franzi2815,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Alles nur großes Gerede im Endeffekt wird nix unternommen,2017-08-30 10:01:58.592404,NULL
25,Markus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Die Bundeswehr hat im Innern nichts verloren, wer bestimmt denn, wann Terroranschläge ""groß"" sind? Ansonsten liest sich der Plan ganz gut, die Punkte machen Sinn. Aber an sich sollten das alles Maßnahmen sein, die bereits umgesetzt werden oder hätten umgesetzt werden können. Da bedarf es vielfach keiner langen Planungsphase sondern einfach nur der entsprechenden Anweisung an nachgeordnete Behörden.",2017-08-30 10:23:33.89622,NULL
26,gewe,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Unbedingt eine bessere Zusammenarbeit der internationalen Geheimdienste und innerdeutsch bessere Kommunikation der staatlichen Behörden miteinander,2017-08-30 10:24:04.541941,NULL
27,Siggi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich sehe in dem Plan bisher nicht neues oder konkretes, nur das überall die Kapazität für Ressourcen und Material erhöht werden soll. Mehr Kapazität bedeutet aber nicht unbedingt ein effektiveres Arbeiten. Punkt 4. Die Bundeswehr mit einzubeziehen halte ich als zusätzliche Unterstützung für unsinnig, außer es wird ein Sonderteam gebildet und dieses wird auf genau solche Einsätze vorbereitet bzw. sollte das Personal dafür auf Tauglichkeit für diese Augabe geprüft werden. Also für mich ist bei diesem ""Plan"" nichts neues aufgeführt und es wird wahrscheinlich alles so bleiben wie es ist.",2017-08-30 10:50:18.687646,NULL
28,volkibubi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"das ist ja ein Plan aus dem Jahr 2016. alles war plausibel. Aber wie sind bis jetzt, also bis zum Sommer 2017 die Resultate? Was sagen die Sicherheitsbehörden intern?",2017-08-30 10:51:03.813582,NULL
29,Siggi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"sehe ich leider auch so... Sobald der Wahlkampf vorbei ist und der Druck raus ist, wird sich wieder kaum einer dafür interessieren.",2017-08-30 10:51:16.998365,24
30,volkibubi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Nein, das ist ein wichtiges Thema, und wird durch neue Anschläge, die irgendwo in europa, oder auch leider in Deutschland stattfinden werden, präsent sein. Aber es ist schon komisch, dass eine solche Untersuchung jetzt stattfindet. Die Kanzlerin Merkel ist ja nicht selbst für dieses resort verantwortlich sondern Th. de Maiziere.",2017-08-30 10:55:31.773505,29
