coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,vm,key,value,key...7,value...8,key...9,value...10
,31,maxi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Die Punkte an sich sind ja schön und gut, was ist den mit den Menschen, die keine Flüchtlinge sind? Es müßte doch auch geklärt werden, wie sich die Menschen radikalisieren und dann zu Terroristen werden. So muss dann auch präventiv da gegen vorgegangen werden und das schon frühzeitig in den Schulen, Moscheen und in den sozialen Brennpunkten. Da wird aber gespart, was das Zeug hält, weil man es nicht für nötig hält. Was soll denn ein Mensch mit sich anfangen, der seiner Meinung nach keine Perspektive hat? Er wird wohl sich dahin wenden, wo er ""gewollt"" ist, so arbeiten die Organisationen des Terrors. Wir bräuchten auch dringend die härtere Durchsetzung der bestehenden Gesetze, insbesondere gegen Gewalttäter. Was nützen denn Bewährungsstrafen, was soll daran denn abeschrecken? Auch müsste härter gegen diese ""Großfamilien-Clans"", Gedulteten usw. vorgegangen werden, die Politzei sammelt fleißig Beweise und nimmt die Täter fest und Richter lassen die Täter laufen. Warum kann zum Beispiel Tunesien Deutschland vorschreiben, dass sie eine handvoll Tunesier pro Woche wieder aufnehmen, die doch eindeutig tunesische Staatsbürger sind, warum bekommt denn Tunesien Hilfsgelder und schreibt der deutschen Regierung vor, wie eine Rückführung ab zu laufen hat? Sollte es nicht anders herum sein? Ansonsten Hilfsgelder streichen und Reisewarnungen für die beliebten Reiseziele herausgeben! Allgemein fehlt es auch am Respekt gegenüber der demokratischen, westlichen Gesellschaft. Aber das ist doch das schöne daran in unsere Demokratie, es wird keiner gezwungen hier zu bleiben, wo es ihm anscheinend nicht gefällt. Wenn diese Leute unsere Demokratie so verändern wollen, dass man seine Meinung nicht frei äußern darf, als Frau nur machen darf, was der Mann der Familie vorschreibt...dann sind diese Leute doch definitiv falsch hier in einer Demokratie. Warum ändern Schulkantinen zum Beispiel ihren Essensplan so um, dass es kein Schweinfleisch mehr gibt, weil sich dadurch Mosleme dadurch gestört fühlen, dann finde ich es ehrlich gesagt übertrieben. Warum muss ich darüber nachdenken, die Deutsche ist und Demokratin, ob sich jemand gestört fühlen könnte, dass ich in einer deutschen Kantine Schweineschnitzel essen möchte? **Leben und leben lassen, scheint ja für Viele ein Fremdwort zu sein, auch im Jahr 2017**. Der Glaube wird vorgeschoben, weil Einige ihr Mittelalter- Denken nicht ablegen wollen! So nun wieder zum 9 punkte plan: das sind doch alles nur Anfänge, die ja auch erst einmal mit dem Datenschutz und Grundgesetz in Einklang gebracht werden müssen, Bundeswehr darf nicht zur Terrorabwehr im Inland eingesetzt werden, man hat aus der NS-Zeit ja gelernt und wollte damit vorbeugen. Auch wir dürfen uns nicht einengen lassen, ich möchte ausgehen und auch Polizeipräsens sehen, um mich einiger Maßen sicher zu fühlen. Auch will ich, dass der Terror hier keine Chance hat, dafür bin ich auch bereit den Datenschutz zu lockern. Aber bitte denkt nicht nur an die Terrorabwehr , sondern auch an die Prävention!",,,,,,,2017-08-30T11:13:27Z,NULL,,vm1,,,,,,
,32,hotti,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht.",,,,,,,2017-08-30T12:21:48Z,NULL,,vm1,,,,,,
,33,colbert,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Diese neun Punkte sollten erst das absolute Minimum an Maßnahmen sein, die dringend umgesetzt werden müssen. Wenn sich dann herausstellen sollte, dass dies noch nicht ausreichend ist, muss man sich über weitere Punkte bzw. weitere Verschärfungen den bestehenden Punkte Gedanken machen. Grundsätzlich sollte gelten: Das Wohl der Allgemeinheit steht über dem Wohl eines einzelnen und daher sind Diskussionen wie ein zu starker Eingriff in die Privatsphäre beim Thema Terrorbekämpfung oder -vermeidung/-vorbeugung völlig fehl am Platz.",,,,,,,2017-08-30T13:01:30Z,NULL,,vm1,,,,,,
,34,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Spontan - ohne jetzt auf die einzelnen Inhalte einzugehen - bleibt ein Wort ganz klar in meinem Köpfchen: ""schnellstmöglich"". Es kommt in fast allen Punkten vor. Schon verliere ich die Geduld und neige dazu, die Inhalte zu übersehen, weil ich sie für ebenso unpräzise, unverbindlich halte. Sind sie im Übrigen auch. Alles wabbelig. Ich erwarte von einem Plan, dass die (rechtliche) Durchführung der einzelnen Punkte zuvor! eindeutig geklärt ist. Keine Wunschträume - real umsetzbare Dinge. Sofern es Hindernisse gibt, erwarte ich, dass diese Informationen mitgeliefert werden, so dass verständlich ist, dass die Umsetzung dieses Planes völlig ungewiss ist. Das sind meine ersten - oberflächlichen - Anmerkungen zu dem Gesamtthema ...",,,,,,,2017-08-30T15:13:30Z,NULL,,vm1,,,,,,
,35,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo zusammen, ich bin der Meinung,was nützt der Plan oder die 9 Punkte wenn sie am Schluss doch nicht umgesetzt werden. Die einen wollen den Einsatz von Soldaten die anderen wieder nicht. Ich würde zuerst mal die Soldaten Richtig ausrüsten und Schulen bevor ich sie in so einen Einsatz schicke denn vom Grünen Tisch ist gut Planen aber wie sieht es an der Front aus?? Online Kauf unterbinden da kann ich nur lachen wieviel Waffen werden denn unter den Augen unserer Regierung ins Ausland Verkauft wie z.b.Türkei und keiner Kontrolliert was sie dann hingehen. Jetzt will man sogar noch eine Panzerfabrik in der Türkei bauen also die Waffen noch näher hin bringen!!?? Mehr Abschiebungen ?? Wer macht es denn ?? Bei uns in Rheinlandpfalz heißt es doch immer,wir schicken niemanden in die Kälte!! Und bis bei uns Abgeschoben wird wird erst mal Krank gemacht dann kommt so ein schlauer Anwalt der auf Steuerzahler Kosten vor Gericht geht obwohl er genau weis das es nichts bringt aber egal er hat ja sein Geld. Und wenn man sich dann mal bemüht die Herrschaften Morgens zu holen,dann sind sie nicht mehr auffindbar aber holen sich dann in einem anderen Bundesland weiter hin Sozialhilfe. 16 Bundesländer 16 mal andere Praktiken keiner was was und keiner macht was.",,,,,,,2017-08-30T15:57:18Z,NULL,,vm1,,,,,,
,36,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Überfällig ja aber wer hat soviel Eier in der Hose das auch zu machen?? Sofort schreien die Grünen mit mir nicht. Die Linken die so viel Dreck aus der Vergangenheit an ihren Händen haben mit uns nicht und so geht es weiter wie ein Roter Strich. Unfähig sage ich nur alle die da oben in Berlin sitzen.,,,,,,,2017-08-30T16:01:15Z,4,Die genannten Maßnahmen sind überfällig.,vm1,,,,,,
,37,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Das kann man ändern.,,,,,,,2017-08-30T16:01:58Z,2,Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,vm1,,,,,,
,38,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Hallo Franzi, genau so ist es vor allem vor den Wahlen wird sooo viel versprochen das sich die Balken biegen. Und was wird gemacht nixx.",,,,,,,2017-08-30T16:22:04Z,24,Alles nur großes Gerede im Endeffekt wird nix unternommen,vm1,,,,,,
,39,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wir schaffen dass denn wir haben schon soooo viel geschafft .:-(( Ja was machen wir mit den soo vielen Gut Menschen die haben ja dann keine Aufgabe mehr ??,,,,,,,2017-08-30T16:40:39Z,32,"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht.",vm1,,,,,,
,40,holzwurmpaul,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Genau so ist es. Aber so lange unsere Politiker ihren eigenen Wachhund haben oder sogar 3 ist denen doch ziemlich EGAL was mit dem Otto Normal Verbraucher passiert. Der soll seinen Mund halten Arbeiten gehen Steuern bezahlen.,,,,,,,2017-08-30T16:46:23Z,23,"[quote=""system, post:1, topic:15""] Bundeswehreinsätze [/quote] Ich bin für die Bundeswehreinsätze zur Unterstützung der Polizei. Durch das Jahrelange streichen der Polizeikräfte ist diese durch die aktuelle Bedrohung völlig überfordert.",vm1,,,,,,
