post_number,topic,user,raw,created_at,reply_to_post_number,key,value,key,value
1,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),system,"<div class=wrap><img src=""/uploads/default/original/1X/1d4fb79551bf09ca05eff1cc2381e72f98007326.jpeg"" width=""689"" height=""410""></div> Die Anschläge der vergangenen Monate zeigten, dass der Terror nun mittlerweile auch in Europa angekommen ist. Es gab verschiedene Anschlägen in Europa: Zum Beispiel in Belgien, in Frankreich oder in Deutschland. Immer mehr Menschen sind vom Terror betroffen, sei es direkt oder indirekt. Uns interessiert: Haben Sie selbst bereits Erfahrungen mit Terror gemacht? Spüren Sie eine Veränderung in Ihrem Alltag? Und falls ja, welchen Einfluss hat Terror auf Ihr Leben? ## Sagen Sie uns Ihre Meinung!",2017-07-31 10:10:10.086293,NULL,NULL,NULL,NULL,NULL
2,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),danzerlois,"Ich war am 13.11. in Paris im Stadion und meine Frau und unsere Tochter abends nahe der République beim Essen in einem Restaurant… Man braucht Glück im Leben. Am nächsten Tag war Paris très calme et personne devant les vitrines chez Printemps. Wir werden wieder hinfahren, denn wir lassen unsere Tochter dort nicht im Stich. Ausserdem wird unser Sohn ab Januar in Paris studieren. So viel zum familiären Umgang mit dem Terror.",2017-07-31 10:11:11.827618,NULL,+1|retort,"[""uhrentoaster"", ""birdie"", ""zigeunerin"", ""garda"", ""scratchy"", ""ClaudiaE"", ""candy76""]",-1|retort,"[""ralf_md""]"
3,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),utzscre,"Ich lebe in Brüssel und bin daher dieses Wochenende sehr konkret von einer Terror-Warnung betroffen. Ich halte mich an das, was die Behörden sagen (grosse Plätze meiden etc.), bleibe aber wegen dieser Situation nicht daheim. Gestern war ich wie immer am Samstag beim Einkaufen und zu einem Frühstück in einem Cafe. Das Schöne war das alles voll war. Ich möchte mich nicht verstecken wegen einer Terror-Warnung, zumal ich persönlich keine Angst habe. Auf einer politischen Ebene macht es mich aber stink-sauer, dass manche Politiker sowie Leute im rechten Lager den Terror instrumentalisieren und Ängste schüren.",2017-07-31 10:11:20.947505,NULL,+1|retort,"[""buddy_art"", ""herzberg1"", ""bernies"", ""garda"", ""ClaudiaE"", ""suedzipfel"", ""candy76""]",NULL,NULL
4,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),braman,"Wie gehe ich mit der Terrorgefahr"" um? Genau so wie mit der Gefahr, bei einem Autounfall, bei einem Arbeitsunfall, durch Krankheit oder was es sonst noch an 'Lebens’gefährlichen Umständen gibt. Ich nehme an der (von den Medien) geschürten Hysterie NICHT Teil außer das ich sie kritisiere, noch mehr allerdings kritisiere ich die Reaktion der Politiker, diese geschürte Hysterie zum Anlass zu nehmen, Freiheiten und Bürgerrechte (noch mehr) ein zu schränken! MfG: M.B.",2017-07-31 10:11:29.979153,NULL,+1|retort,"[""buddy_art"", ""herzberg1"", ""MaltoCortese"", ""ClaudiaE""]",-1|retort,"[""birdie"", ""zigeunerin"", ""kurzundknapp"", ""lulu""]"
5,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),gracco,"Ich lebe weiter wie bisher. Ich habe eher Angst vor einer Krebsdiagnose oder einem Autounfall, als Opfer eines Terroranschlags zu werden. Ironischerweise verbreiten Politiker und deren willige Gehilfen in Funk und Printmedien mehr Panik als der Terrorismus selbst, erzeugen dadurch eine subjektive Bedrohung. Ich merke in meinem Bekanntenkreis, dass dies bei dem ein oder anderen funktioniert. Aber nicht bei mir.",2017-07-31 10:11:39.717538,NULL,+1|retort,"[""buddy_art"", ""MaltoCortese"", ""Petra"", ""candy76""]",-1|retort,"[""birdie"", ""kurzundknapp""]"
6,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),monikamm207,"Die Terrorgefahr, die vermeintliche oder tatsächliche, beeinflusst mein Alltagsleben überhaupt nicht. Ich vertraue auf die Sicherheitsorgane, beachte Hinweise, wenn solche gegeben werden sollten, und lebe ansonsten völlig normal weiter, fahre mit der Bahn, gehe ins Restaurant und ins Kino. Vor allem: Ich habe keine Angst!",2017-07-31 10:11:49.042697,NULL,+1|retort,"[""uhrentoaster"", ""reality_check"", ""birdie"", ""zigeunerin""]",-1|retort,"[""semmelbroesel"", ""buddy_art"", ""kurzundknapp""]"
7,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Blumenbaer,"war selbst noch nicht unmittelbar betroffen. Als ich Anfang Juni auf dem Deutschen Turnfest in Berlin war, musste ich dennoch ständig an die Gefahr denken. Nicht nur wegen der Kerzen auf dem Breitscheidplatz, sondern auch wegen der vielen Sicherheitsvorkehrungen, die so früher auf den Turnfesten nicht nötig waren.",2017-08-29 14:27:03.763374,NULL,NULL,NULL,NULL,NULL
8,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),mmb,"Es kann einen heutzutage immer und überall treffen. Beispiele gibt es ja mehr als genug. Sich davon verunsichern zu lassen, genau das ist doch das Ziel der Terroristen. Ich lehne es ab, mit dieser Angst Tag für Tag leben zu müssen. Bin bis jetzt davon verschont geblieben und hoffe, dass es auch so bleibt. Der Staat ist gefordert, die Bevölkerung vor diesem Terror zu schützen. Der 9-Punkte kann nur ein Anfang sein, es müssen auch Taten folgen",2017-08-29 18:14:07.203543,NULL,+1|retort,"[""candy76""]",NULL,NULL
9,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),anonym1,"Noch keine Erfahrung, zum Glück",2017-08-29 19:22:56.290735,NULL,+1|retort,"[""ClaudiaE""]",NULL,NULL
10,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Sindbad,"Meine Erfahrungen sind im Alltag spürbar,wenn ich nicht mehr auf Volksfeste gehen kann weil sie erst gar nicht mehr stattfinden da die Auflagen zum schutz immer aufwendiger werden und die veranstalter das zahlen müssen,was sie oft nicht leisten können(sollte alles die Merkel und ihr gefolge zahlen müssen)",2017-08-29 19:32:22.34751,NULL,NULL,NULL,NULL,NULL
11,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Graf23,Letztes Jahr Weihnachtsmarkt in Magdeburg. Dank Merkel muss man seinen Neffen erklären warum am Eingang Polizisten mit Maschinengewehren stehen statt der Weihnachtsmann mit Geschenken.,2017-08-30 10:03:14.531664,NULL,+1|retort,"[""Kirschrotersommer86"", ""garda""]",NULL,NULL
12,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),BirgitK,Ich bin selbst nicht betroffen. Lebe so ländlich das sich ein terrorangriff nicht lohnt. Verfolge aber die Nachrichten,2017-08-30 10:24:59.19872,NULL,NULL,NULL,NULL,NULL
13,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),gayd2201,es gibt keine Antwort auf diese Frage. Es ist Schicksal. Unser Land soll uns vor Terrorgefahr schützen.,2017-08-30 11:21:54.800479,NULL,NULL,NULL,NULL,NULL
14,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Nadin1979,"Zum Glück habe ich keine persönliche Erfahrung damit. Hoffentlich bleibt es dabei. Ich würde mir sehr wünschen, das auch alle anderen Menschen keinen Terror erleben !!!!!",2017-08-30 11:37:28.53384,NULL,NULL,NULL,NULL,NULL
15,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),krenz,"Zum Glück noch keine, aber es kann einen überall treffen.",2017-08-30 12:25:50.598686,NULL,NULL,NULL,NULL,NULL
16,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Chyrus,"Ich habe noch keine persönliche Erfahrung gemacht, jedoch vieles im engeren Umfeld gehört",2017-08-30 13:10:30.193487,NULL,NULL,NULL,NULL,NULL
17,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Tina2017,Ich hatte Barcelona gebucht und habe die Reise storniert! Im Dezember möchtre ich nach Dresden und bin sehr verunsichert ob ich wirklich fahren soll,2017-08-30 13:20:27.089043,NULL,NULL,NULL,NULL,NULL
18,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),999Everliving,"Bis jetzt habe ich noch keine Erfahrungen mit Terror gemacht. Ich denke, das Risiko ist relativ gering und ich fahre nicht mehr so häufig in die Stadt",30.08.2017 14:51,NULL,NULL,NULL,NULL,NULL
19,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),DRM68,"Selbst habe ich zum Glück noch keine direkten Erfahrungen mit Terror gemacht. Es wundert mich sogar, dass an Orten mit großen Menschenansammlungen (wie Einkaufszentren, Fußballstadien, Freizeitparks....) zum Glück noch nicht zu ultimativ großen Anschlägen gekommen ist. Aber ich habe die leise Befürchtung, dass es nicht mehr lange dauern wird, bis auch diese Hemmschwelle - sofern tatsächlich vorhanden - von Terroristen überschritten wird!",2017-08-30 15:06:51.865833,NULL,NULL,NULL,NULL,NULL
20,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Snoopy,"Zum Glück keine. Allerdings hatte es hier gestern Nachmittag hintereinander mehrer ""Knalle"" gegeben. Ich assozierte sie sofort mit Fehlzündungen eines VW-Käfers in den 70ern. Viele dachten tatsächlich es würden Schüsse fallen, sprangen von ihren Stühlen auf und sind in die Häuser gerannt ........",2017-08-30 15:36:00.266432,NULL,NULL,NULL,NULL,NULL
21,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),schulten,mein bruder lebt in berlin und ich war zum weihnachtsfest 2016 eingeladen.dann geschah der terroranschlag auf dem weihnachtsmarkt.alles war tagelang um sein wohnumfeld abgesperrt und (im 500meter radius)und so mußte ich meinen besuch leider absagen was mich sehr erzürnt auf diese is mörder gemacht hat.,2017-08-30 16:40:55.773396,NULL,NULL,NULL,NULL,NULL
22,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),schulten,nachtrag:ansonsten habe ich gott sei dank keine direkte begegnung mit terror gehabt.urlaube verbringe ich nur in österreich und der schweiz die als sehr sicher eingestuft werden.,2017-08-30 16:42:57.150763,NULL,NULL,NULL,NULL,NULL
23,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),coco27,"Ich bin von Natur aus ein eher vorsichtiger Mensch, was nicht heißt, dass ich mich schnell von Dingen einschüchtern lasse. Zum Glück habe ich selber bisher noch keine persönlichen Erfahrungen mit Terror gemacht oder war in der Nähe von betroffenen Plätzen. Allerdings sind die Zeiten schon merklich rauer geworden und es passiert selbst auf dem Land viel mehr als noch vor 10-15 Jahren. Ich bin der Meinung, dass man die Bedrohung schon ernst nehmen, jedoch nicht sein Leben danach richten sollte. Ich finde es traurig, dass manche Menschen immer rücksichtsloser werden und die Toleranz irgendwo verloren geht.",2017-08-31 06:15:43.087512,NULL,NULL,NULL,NULL,NULL
24,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Barbara,Gott sei Dank: Keine persönliche Erfahrung.,2017-08-31 08:28:05.214431,NULL,NULL,NULL,NULL,NULL
25,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),turtur,Ich habe vor allem Angst vor rasenden oder alkoholisierten Autofahrern oder Motorradfahrern. Hier sind die Gegenmaßen geradezu lächerlich. Die Gefahr des Terrors wird für den Einzelnen überbewertet.,2017-08-31 08:38:13.169181,NULL,NULL,NULL,-1|retort,"[""lisa5953""]"
26,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),lulu,es macht mich traurig und wütend das Menschen sich sowas gegenseitig antuhen habe bislang nur ausentstehend mit dem Terror zu tun gehabt,2017-08-31 09:26:31.631506,NULL,+1|retort,"[""lisa5953""]",NULL,NULL
27,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),DaniK,"Ich wurde schon einige Male kontrolliert, bei Veranstaltungen durften keine Taschen aufs Gelände mitgenommen werden... Sonst aber nichts. Ich muss auch gestehen, dass ich auf den Hysterie-Zug nicht aufspringen mag. Ich bezeichne mich und meine Genration auch gerne als ""Generation Terror und Amok"", denn ich habe Columbine, Winnenden und den 11. September schon sehr früh sehr bewusst wahrgenommen. Beim versuchten Anschlag in Köln 2006 war ich dabei. Und trotzdem ging mein Leben immer weiter. Machen wir uns nichts vor, Terror ist nicht erst seit gestern in Deutschland (denn 2006 war silamistisch motiviert!!). Trotzdem gehe ich zu der hier ansässigen DITIB-gemeinde und feiere ihr Straßenfest mit. Und ich werde da immer sehr offen empfangen, habe nie schlechte Erfahrungen gemacht und wurde immer mit Respekt behandelt",2017-08-31 10:13:19.445962,NULL,+1|retort,"[""candy76""]",NULL,NULL
28,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Ketzerlehrling,"Bisher habe ich keine persönlichen Erfahrungen gemacht mit dem Terror, aber das wird sich bestimmt in naher Zukunft ändern.",2017-08-31 10:14:32.798926,NULL,NULL,NULL,NULL,NULL
29,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),AnjaSn,"Bis jetzt habe ich noch keine persönlichen Erfahrungen mit Terroranschlägen gemacht,worüber ich sehr froh bin.Ich lasse mich in meinen Alltag auch nicht vom Terror beeinflussen bzw. einschränken,denn genau das wollen diese Menschen ja und diese Genugtuung gönne ich ihnen nicht.Ich merke aber die Auswirkungen des Terror,des bei Festen hier in der Umgebung gibt es nun mehr Polizeikräfte,höhere Sicherheitsvorkehrungen und an großen öffentlichen Plätzen sind Videokameras angebracht worden.",2017-08-31 13:19:18.11829,NULL,NULL,NULL,NULL,NULL
30,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),eltipsi,Habe zum Glück noch keine Berührung damit gehabt,2017-08-31 13:45:08.982751,NULL,NULL,NULL,NULL,NULL
31,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),den27,"Mit Terroramschlägen habe ich selbst noch keine Erfahrung gemacht, allerdings spüre ich sehr wohl Ver#nderungen im Alltag. Durch diese Terroranschläge bin icvh persönlich doch vorsichtiger geworden und auch meinen Urlaub habe ich anders gestaltet als sonst. Reiseziele wurde innerhalb Deutschlands gewählt und das Oktoberfest und auch Cannstatter Wasn lasse ich links liegen.Auch wenn sich viele nicht abschrecken lassen, ein hätte.... und wäre..... möchte ich einfach nicht sagen müssen",2017-08-31 18:00:31.728201,NULL,NULL,NULL,NULL,NULL
32,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Sonnenschein,"Ich versuche mein Leben so normal wie möglich zu führen, aber man an manchen Orten einfach ein ""ungutes Gefühl""!",2017-08-31 19:26:12.423016,NULL,NULL,NULL,NULL,NULL
33,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),garda,"An dem Überweg an dem der Attentäter den LKW in den Berliner Weihnachtsmarkt gesteuert hat habe ich ca. 2 h vorher gewartet und dann die Straße überquert. Wäre er mit dem LKW schneller zurande gekommen, hätte es eben mich erwischt. Soll man deswegen Angst haben? Ich war wenige Tage später nochmal da und fühle mich deswegen keineswegs besonders mutig. Terroristen wollen anderen Menschen etwas nehmen, was sie selbst nicht haben. Ein ganz normales Leben. Es liegt auch an jedem Einzelnen, ob das gelingt.",2017-08-31 19:42:44.806619,NULL,+1|retort,"[""candy76""]",NULL,NULL
34,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Petra,"Ich stimme mit gracco total ueberein. Persoenliche Erfahrung mit Terror habe ich nicht und muss wirklich GOTT SEI DANK dazu sagen. Ich lebe weiterhin ganz normal Ich steige weiterhin in ein Flugzeug ohne den Gedanken zu haben dass es explodieren wird wegen einem Terroranschlag. Vielleicht werde ich ein etwas komisches Gefuehl dabei haben beim naechsten Mal ueber den Weihnachtsmarkt zu schlendern, aber ansonsten sollte man nie etwas herausbeschwoeren was nicht da ist. Genau wie gracco habe ich eher Angst an Krebs zu erkranken und leiden zu muessen als an in einen Terroranschlag zu sterben. Mein Mann sagt immer: "" Manche Menschen haben ein Gemeines Weltsyndrom. Sie sehen alles nur von der negativen Seite."" Ihm stimme ich zu. Die Medien sind zum Teil auch dafuer verantwortlich mit ihren Krimiserien und Thrillers wo nur Mord und Totschlag herrscht und dadurch viele Menschen noch aengstlicher werden.",2017-08-31 21:45:13.803496,5,+1|retort,"[""candy76""]",NULL,NULL
35,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),lisa5953,Zum Glück hab ich noch keine persönlichen Erfahrungen mit dem Terror gemacht . Ich denke aber das es der absolut falsche Weg ist alle potentiellen Gefahrenquellen zu meiden. Man weiß nie wo der Terror zuschlägt. Den 9-Punkte-Plan umzusetzen wäre ein wichtiger und guter Schritt gegen den Terror.,2017-09-01 05:37:11.520319,NULL,NULL,NULL,NULL,NULL
36,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),scratchy,"Ich habe keine Erfahrung mit Terror, habe auch nicht sonderlich Angst aber ab und zu ein ungutes Gefühl bei großen Ansammlungen wie Konzerten.",2017-09-01 09:30:35.346124,NULL,NULL,NULL,NULL,NULL
37,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),ralf_md,Ich habe Gott sei dank noch keine Erfahrung mit Terror gemacht.,2017-09-01 09:59:15.330859,NULL,NULL,NULL,NULL,NULL
38,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),meinemeinung,"Ich selbst, meine Familie und mein direkter Umkreis hat mit dem Terror Gott sei dank noch keine Erfahrung gemacht und hoffen, dass es dabei bleibt.",2017-09-01 10:54:45.853265,NULL,NULL,NULL,NULL,NULL
39,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Stefanie37,"Ich habe zum glück noch keine erfahrungen mit Terror gemacht.Mir ist bewusst das er auch in Deutschland zuschlagen könnte,was mich aber nicht einschränkt irgentwelche öffentlichen plätze zu meiden oder so.",2017-09-01 13:33:23.624384,NULL,NULL,NULL,NULL,NULL
40,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Engel,"Glücklicherweise war ich bisher nicht direkt vom Terrorismus betroffen. Ich meide es jedoch seit vielen Jahren, große Menschenansammlungen aufzusuchen.",2017-09-01 15:09:17.155256,NULL,NULL,NULL,NULL,NULL
41,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Winnetou,Ich habe in Schweinfurt/Unterfranken zum Glück noch keine Erlebnisse mit dem Terror gehabt. Und ich hoffe das bleibt auch so. Doch wissen kann man das nie. Darum sage ich: Grenzen dicht und noch mehr Polizei einsetzen!,2017-09-01 17:06:25.236373,NULL,NULL,NULL,NULL,NULL
42,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),tiki,"bis jetzt war ich nicht betroffen, indirekt aber schon, frau geht abends nicht mehr weg, geht sowieso nicht mehr auf veranstaltungen und lebt zurückgezogener, frau bewaffnet sich, schützt das eigentum usw. - was man eben tun kann. . jeder sollte sich innerlich sehr gut auf das schlimmste vorbereiten, damit man durch schock und starre zum opfer wird. im prinzip kann man sagen, es hilft nur eins, ganz einfach brutaler als der angreifer zu sein. nur das wird wirkung zeigen. wer sich wehrt, wird nicht zum opfer. wer angreifer ausschaltet, rettet andere und sich selbst. diese leute kann man ja nicht mal therapieren. von daher ... mit massiver gegenwehr macht das spielchen ja auch keinen spass mehr. und sowas spricht sich auch rum. wenn die laufend eins über die mütze kriegen, dann ist der zauber auch vorbei.",2017-09-01 22:50:34.475848,NULL,NULL,NULL,NULL,NULL
43,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),tiki,.. duch schock und starre NICHT zum opfer wird - sollte das heissen.,2017-09-01 22:52:20.414092,42,NULL,NULL,NULL,NULL
44,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),tiki,"grenze dicht ? .-. bißchen spät, die sind schon alle hier. und polizei rennt im zweifelsfall selber .. lol ..",2017-09-01 22:53:59.061475,41,NULL,NULL,NULL,NULL
45,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Aileen,"Angst vor Terror habe ich nicht persönlich..ich denke, Ich bin sicher wo ich lebe..ich habe eher Angst um meine Kids.. oder da ich viele Kilometer pro tag fahre .. eher Angst dass wieder irgendein hirnie die Kontrolle über sein Auto verliert..weil zu alt oder zu schnell!!",2017-09-02 08:39:58.876476,NULL,NULL,NULL,NULL,NULL
46,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),VanZanDen,"Persönliche Erfahrungen mit Terror hatte ich (noch) nicht. Aber man hat schon ein komisches Gefühl, wenn man bspw. an einem stark besuchten Ort unterwegs ist. Außerdem ist dann immer der Gedanke, was wäre wenn... Insgesamt hat es keinen so großen Einfluss auf mein Leben.",2017-09-02 09:12:59.418604,NULL,NULL,NULL,NULL,NULL
47,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),LottaG,Angst ist nicht von GOTT...wir können und müssen der Angst mit Glauben begegnen...,2017-09-02 10:11:55.293105,NULL,NULL,NULL,NULL,NULL
48,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),CalleCml,"Ich selbst hatte noch keine Erfahrung und hoffe auch das es so bleibt. Ich finde es gut, dass die Bevölkerung so reagiert wie bisher und sich nicht einschüchtern lässt. Was mich bedrückt ist, dass viele Informationen durch Verfassungschutz etc. zurückgehalten werden. Man sollte alle Informationen über Terror der Bevölkerung nahebringen.",2017-09-02 13:12:11.324479,1,NULL,NULL,NULL,NULL
49,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Winnetou,"Für die, die schon da sind ist es klar zu spät. Die sind schon da und man wird sie fast gar nicht mehr los. Ich meine natürlich, dass die Bundesregierung daraus lernt und die nächste Welle abwehrt. Das ist aber nur meine Hoffnung. Wir müßten es nur wie die Polen machen. Die geben jedem Flüchtling pro Kopf und Monat ca. 20,- Euro in die Hand und das war insgesamt alles - das war meine letzte Information aus der Zeitung vor ca. 3 Monaten oder so. Also Polen hat bis jetzt kein großes Problem mit Flüchtlingen und Asylanten. Wenn das alles so stimmt, wie die Zeitung damals schrieb, dann ist das der richtige Weg!",2017-09-02 13:59:54.422117,41,NULL,NULL,NULL,NULL
50,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Bea1,"Keine persönlichen Erfahrungen, ich nehme auch bei Unternehmungen oder Urlaub kaum Rücksicht auf diese halb diffusen Ängste. Ich hätte ja auch letztes Jahr "" friedlich ""einen schönen Weihnachtsmarkt besuchen können oder ähnliches. Ich Stimme also zu: Wirklichen Schutz gibt es nicht!",2017-09-02 15:41:11.215086,NULL,NULL,NULL,NULL,NULL
51,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),poisenangel,"Persönliche Erfahrungen habe ich auch noch nicht gemacht, jedoch bleibe ich aber deswegen jetzt auch nicht zu Hause. Ich gehe auch nicht mit Angst aus dem Haus und Schutz wie Bea1 sagt, gibt es nicht. Sicher ist man vorsichtger aber man sollte auf jedenfall so weiter Leben wie bisher denn ich denke gerade das ist es was die Terroristen wollen, uns einschüchtern usw.. Wir müssen dagegen halten und immer wieder kämpfen",2017-09-02 18:32:17.233431,NULL,NULL,NULL,NULL,NULL
52,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),tiki,"wer keine angst vor terror hat, der ist ein narr .. und er ist nicht innerlich vorbereitet in dem fall das richtige zu tun sondern dann überrascht und wehrlos .. man sollte das jeweilige szenario schon innerlich durchspielen, .. und die kurse zur selbstverteidigung sind nicht umsonst ausgebucht. der einzelne bürger wartet nicht auf die politik. keiner ist so doof zu glauben, das er noch sicher ist in diesem land. zumindest nicht in den großstädten. wir sind jetzt alle in einer situation, die vor 3 jahren nicht mal vorstellbar war. .",2017-09-02 19:38:15.882299,NULL,NULL,NULL,NULL,NULL
53,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),alterSchwede,"Opfer eines Terroranschlags zu werden ist genauso real oder irreal wie Opfer eines Verkehrsunfalls oder einer Krankheit zu werden. Wenn ich mich in meinem Alltag immer vor allem fürchten müsste, würde ich verrückt werden. Ich lebe alspo weiter wie bisher.",2017-09-03 07:42:46.350953,NULL,NULL,NULL,NULL,NULL
54,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),samson,"Ich selber war noch nicht betroffen, aber ich habe nicht vor mich in irgendeiner Weise irgendwo einschüchtern zu lassen.",2017-09-03 11:54:57.147109,NULL,NULL,NULL,NULL,NULL
55,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Winnetou,"Vor wenigen Tagen hat es auch in meiner Stadt Schweinfurt in Unterfranken einige Polizei-Einsätze in den Flüchtlings-Unterkünften gegeben. Die Einsätze wurden erst 2 Tage nach der Aktion in der Zeitung beschrieben - ein Schuft, der sich Böses dabei denkt!!! Dabei handelte es sich um den 4. Einsatz innerhalb weniger Wochen. Ein bestimmte syrische Groß-Familie mit 11 Mitgliedern hat unser Asyl benutzt, um hemmungslos zu stehlen! Die Polizei mußte mit fast 40 Mann anrücken, um diese Familie festnehmen zu können. Mehrere Beamte wurden verletzt, sogar Kinder dieser Familie zückten Messer, um auf die Polizei los zu gehen. Sicherlich war das nun kein Groß-Aufstand, aber es gibt mir sehr zu denken, dass immer wieder angebliche Flüchtlinge unseren Schutz ausnutzen, um hemmungslos Straftaten zu begehen. Dafür habe ich kein Verständnis!!!",2017-09-03 14:53:03.970951,NULL,NULL,NULL,NULL,NULL
56,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Winnetou,"In der heutigen Tageszeitung las ich einen Leserbrief, in dem der Schreiber sich ebenfalls wundert, daß erst Tage nach den gewalttätigen Vorkommnissen in Schweinfurt etwas in der Zeitung stand. Das gibt mir sehr zu denken. Der Staat sollte energisch durchgreifen und das auch nach außen an die eigene Bevölkerung umgehend berichten!",2017-09-04 16:59:22.348596,NULL,NULL,NULL,NULL,NULL
57,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),Molly-HX,"Gott sei Dank hatte ich persönlich noch keine Erfahrungen mit Terrorismus und will das es so bleibt. Allerdings gibt es im Leben keine Garantie für alle Fälle. Ich schaue in meinem Umfeld schon wachsamer und aufmerksamer, möchte mich aber auch nicht nur durch Angst leiten lassen.",2017-09-04 19:18:00.394009,NULL,NULL,NULL,NULL,NULL
58,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),candy76,"Gefahren lauern überall und man kann nicht nur in Angst leben. Der Alltag geht ja weiter und ich persönlich habe kaum Zeit in meinem Alltag darüber nachzudenken. Glücklicherweise waren meine Familie un ich nicht direkt vom Terror betroffen, aber wir fühlen bei jeder Meldung mit und sind erschüttert und auch wütend über so viel sinnlose Gewalt, die niemanden etwas bringt. Wichtig ist, sich nicht unterkriegen zu lassen und positiv zu denken und auch wenn es schwer ist, an das Gute im Mensche zu glauben. Ich glaube auch, dass vieles von den Medien hochgepuscht wird und ausgeschlachtet, denn mit dem Leid der Menschen bekommt man mehr Einschaltquoten. Und es gab schon immer Terror, nur haben wir da nicht sofort davon gehört, weil es noch kein Internet, soziale Medien und totale Vernetzung gab. Ich denke da nur an die Zeit der RAF, da gab es in Deutschland auch Terror und in Nordirland die IRA, die Angst und Schrecken verbreiet hat. Im Grunde brauchen wir eine neue Friedensbewegung, denn es fehlt an Tolerenz, Respekt, Liebe und Mitgefühl.",2017-09-04 19:38:50.614714,NULL,NULL,NULL,NULL,NULL
59,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),candy76,"Da stimme ich Dir zu. Das sind einfach böse Menschen und wollen, dass man in Angst lebt und kein normales Leben mehr führt und das sollte man sich nicht nehmen lassen.",2017-09-04 19:45:29.879138,33,NULL,NULL,NULL,NULL
60,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),candy76,Genauso sehe ich das auch und ich habe in meinem Kommentar die Zeit der RAF und IRA erwähnt. Und wie Du schon sagst: Das Leben geht weiter und das ist auch gut so.,2017-09-04 19:47:28.547844,27,NULL,NULL,NULL,NULL
61,Was sind Ihre persönlichen Erfahrungen mit Terror? (68),garda,"Warum soll jetzt jeder Angst vor Terror haben? Wie groß ist die Wahrscheinlichkeit das es mich trifft? Wer in Angst lebt, der spielt den Angstmachern egal welcher Herkunft und welchen Zieles in die Hände.",2017-09-04 20:06:50.538555,52,+1|retort,"[""candy76""]",NULL,NULL
