post_number,topic,user,raw,created_at,reply_to_post_number,key,value,key,value
21,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),krenz,Eigentlich ein guter Plan. Aber er kommt zu spät. Erst Millionen reinlassen und dann müssen solche Pläne her.,2017-08-30 12:17:33.579453,NULL,+1|retort,"[""teddy"", ""MissAH"", ""Annzlodi""]",-1|retort,"[""ToWi"", ""suedzipfel""]"
22,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Chyrus,"Meiner Ansicht nach ist das Frühwarnsystem nutzlos, wenn man keine nötigen Schritte ausführt. Und Menschen nur aufgrund eines Verdachtes einzusperren oder abzuschieben wäre gegen das Gesetz. Mir persönlich fehlt die Tiefe und Umsetzbarkeit des 9 Punkte Plans.",2017-08-30 13:01:11.661215,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
23,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Tina2017,"Ich denke, wenn wir di Bundeswehr wieder einführen würden, wäre einiges leichter.",2017-08-30 13:16:05.514262,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
24,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),bob121151,"Neun-Punkte-Plan zur Terrorbekämpfung finde ich wirklich gut wenn alle Punkte ins Leben gebracht werden. Der Plan muss nicht nur konkretisiert, sondern verbreitet und verstärkt werden. Die Sicherheit und ruhiges Leben in Deutschland und Europa müssen für alle auf höchster Nivea stehen.",2017-08-30 13:53:09.657254,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
25,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),marmartin,Theoretisch es scheint positiv und effizient,2017-08-30 14:05:49.054395,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
26,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),123,"Auf den ersten Blick erscheinen die Maßnahmen des 9-Punkte-Plans in wesentlichen Teilen eine gute Idee zu sein. Aber wie realistisch ist die Umsetzung? In erster Linie sollte es eine selbstkritische Aufarbeitung der bisherigen Zwischenfälle geben. Wo gibt es Lücken, was kann realistisch verbessert werden. Ganz wichtig ist meiner Ansicht nach die Personalfrage. Denn Schutz und Vorbeugung, sei es durch Überwachung oder Analysen, kann nur mit geeigneten und ausreichendem Personal gewährleistet werden.",2017-08-30 14:20:28.119344,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
27,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),MutterAlthaus,IIch hoffe wirklich das es durch diesen Plan zumindest in kleinen Schritten gelingt diese Sinnlosigkeit des Terrors abzuwehren und wieder sicherer zu machen.,2017-08-30 14:21:07.617152,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
28,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),nemere,"Das übliche Politikergeschwätz. Es fehlen wesentliche Maßnahmen, z.B. - wirksame Grenzkontrollen - sofortige Abschiebung aller Gefährder ohne Wenn und Aber",2017-08-30 14:21:36.316412,NULL,+1|retort,"[""Stefanie37"", ""garda"", ""peter-59"", ""MissAH"", ""Annzlodi""]",NULL,NULL
29,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),WE40,Stimme Shampoo zu. Habe leider das Gefühl dass die Umsetzung auf sich warten lässt.,2017-08-30 14:24:04.600687,NULL,+1|retort,"[""MissAH"", ""Annzlodi""]",NULL,NULL
30,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Stefanie37,Ich finde der 9punkte plan ist schonmal ein anfang.Der plan sollte aufjedenfall durchgesetzt werden.Allerdings fehlt mir ein punkt für bereits in Deutschland/Europa lebende islamisten.Ich finde das in deutschland/europa lebende islamisten (egal aus welchem land.zb.türkei usw)stärker überprüft werden sollten .Abschiebungen sollten schneller und konsequenter durchgezogen werden .,2017-08-30 14:27:49.397639,NULL,+1|retort,"[""teddy"", ""Annzlodi""]",NULL,NULL
31,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),teddy,"Auch mir fehlen konkrete Ideen, wie das Ganze umgesetzt werden soll. Zudem habe ich ein wenig das Gefühl, dass dieser Plan an mehreren Stellen dazu ausgenutzt werden könnte, die Daten ""gewöhnlicher"" Bürger zu stehlen und zu missbrauchen. Was mich außerdem sehr interessieren würde, wie genau man bitte in der heutigen Zeit verhindern will, dass Waffen online gekauft werden können? Wenn sie online irgendwo auf der Welt angeboten werden, wird sich auch ein Weg finden, sie zu kaufen.",2017-08-30 14:28:26.249941,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
32,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),999Everliving,"Ich denke man will den Bürger erst einmal beruhigen. Es wäre schon viel erreicht, weil man gezielt die Abschiebungen in Angriff nimmt und vor allem bei neuen Flüchtlingen genauer hinsieht.",2017-08-30 14:44:04.687677,NULL,+1|retort,"[""Stefanie37"", ""Annzlodi"", ""MissAH""]",NULL,NULL
33,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),DRM68,"Der Plan an sich ist noch nicht mal sooooo schlecht. Leider wird dieser aber nicht durchführbar sein - alleine schon, was die Punkte 6-8 anbelangt. Es ist ja kein Geheimnis, dass die Welt von immer mehr Idioten regiert wird (siehe Russland, Amerika, Türkei, Nordkorea - und vom nahen Osten möchte ich erst gar nicht reden). Und solange diese Situation weiter Bestand hat ist auch der Neun-Punkte-Plan zum Scheitern verurteilt.",2017-08-30 14:57:16.803949,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
34,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Snoopy,"Ich finde den neun Punkte Plan toll! Ähm, Moment ... ein Plan? Für mich ist das alles Selbstverständlichkeit! Zum Focus Kommentar: 6. Datenfluss in Europa. Wer hat das vor ihr gefordert/gesagt? Ja ICH, letzten Sommer im EU-Projekt/Forum, war dieses mein Hauptvorschlag. Schön, dass die Kanzlerin ihn von mir übernommen hat. ;-) Diese Meldung kurz vor der Wahl ist schon seltsam!? ""Flüchtlinge: Ab 2018 können 390.000 Syrer ihre Familien nach Deutschland holen"" Sehr schön ... mir wird schlecht. Aber freuen wir uns doch über Millionen neuer Gäste von Muddi, sonst müssen wir wieder mit erhobenem Finger an unsere Erbschuld erinnert werden :-(",2017-08-30 15:06:09.000863,NULL,+1|retort,"[""Kirschrotersommer86"", ""BirgitK"", ""Annzlodi"", ""Andrea306""]",-1|retort,"[""ToWi""]"
35,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),schulten,ich denke der neun punkte plan ist vom grundsatz her recht gut.wir haben aber anderseits genügend gesetzte die nur richtig angewendet werden müßten.es müßten die bestehenden gesetzte mit den neuen zusammengefasst und überarbeitet werden.,2017-08-30 16:20:10.863524,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
