post_number,topic,user,raw,created_at,reply_to_post_number,key,value
21,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),ruberall,"Wenn keine anderen Optionen mehr möglich sind, muss ein Einsatz der BW möglich sein !",2017-08-30 12:20:24.834727,2,NULL,NULL
22,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Nachtsmond,interessant und informativ,2017-08-30 13:27:57.098525,NULL,NULL,NULL
23,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),chrissi,Das kommt viel zu spät. Man hätte viel früher reagieren müssen. Die Punkte sind zu unkonkret,2017-08-30 13:40:17.648155,NULL,NULL,NULL
24,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),pfeile,Zum Teil gute Ansätze.Fraglich ist der Einsatz der Bundeswehr im Inneren.,2017-08-30 14:37:52.171856,NULL,NULL,NULL
25,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Mannheimer,Sollte im Terrofall grundsätzlich möglich sein.,2017-08-30 17:22:21.943961,2,NULL,NULL
26,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Dani205,"Meiner Meinung sind dies Maßnahmen, die in der Hektik und ohne genaue Ursache-Wirkungs-Analyse getroffen wurden, d.h. ohne Risiko-Maßnahmen-Ableitung. Diese sollen die Menschen beruhigen - sind ja nicht völlig wirkungslos - kosten aber viel Geld, was es laut Kosten-Nutzen-Analysr eben nicht wert ist. Guter Ansatz schlecht umgesetzt.",2017-08-31 05:09:51.555486,NULL,NULL,NULL
27,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),feriyaz,ich finde ganz positive aber Zeit hat nicht beachtet.,2017-08-31 07:57:15.504256,NULL,NULL,NULL
28,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Chrysler123,"Dieser 9 Punkte Plan kommt leider viel zu spät. Es hätte ihn schon viel früher geben sollen, um evtl. viele dieser Terroranschläge verhindern zu können.",2017-08-31 08:02:06.067159,NULL,NULL,NULL
29,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),kalle,Schöne worte insbesodere bzgl der verbesserten Kooperation und des datenflusses nur wird diese jedesmal gefordert ohne dass sich was ändert. Solange wir fraktalst in den behörden unterwegs sind ( nicht mal die EU mit einbezogen= wird sich das vermutlich auch nicht ändern. Also ist der 9 punkte plan schlichtes opium fürs volk,2017-08-31 08:07:07.506758,NULL,NULL,NULL
30,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),HLW,"Irgendwie hat man diese Punkte alle schon mal gehört. Erschreckend ist, dass man manches eigentlich voraussetzt als Bürger. Austausch der Geheimdienste, Online-Waffenkauf unterbinden... als Bürger erwartet man ja, dass der Staat hier aktiv ist.",2017-08-31 08:12:09.062166,NULL,+1|retort,"[""Vicky""]"
